INPUT:id	INPUT:sense	INPUT:phrase	INPUT:sentence	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
8	"""the products of human creativity; works of art collectively"",""the creation of beautiful or significant things"",""a superior skill that you can learn by study and practice and observation"",""photographs or other visual representations in a printed publication"""	art	It is easy to see why the ancient art is on the ropes.	"""the creation of beautiful or significant things"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228d76	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
282	"""suitable to or characteristic of drama"",""sensational in appearance or thrilling in effect"",""pertaining to or characteristic of drama"",""used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"""	dramatic	It flopped all around, real dramatic!	"""pertaining to or characteristic of drama"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228e88	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
632	"""readiness to embark on bold new ventures"",""the first of a series of actions"",""serving to set in motion"""	initiatives	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	"""the first of a series of actions"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099e93e94fd20f62292b5	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
137	"""in an aggressive manner"",""in a well delineated manner"",""changing suddenly in direction and degree"",""very suddenly and to a great degree"""	sharply	There is neither mystery nor paradox in the fact that as educational expenditures( in real terms) have increased sharply in the past quarter-of-a-century-- we now spend more per pupil than any other country in the world-- educational performance has declined.	"""changing suddenly in direction and degree"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228df7	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
629	"""a politically organized body of people under a single government"",""the territory occupied by a nation"",""the people who live in a nation or country"",""an area outside of cities and towns"",""a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)"""	countries	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.	"""an area outside of cities and towns"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099e93e94fd20f62292b2	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
524	"""a demanding or stimulating situation"",""a call to engage in a contest or fight"",""questioning a statement and demanding an explanation"",""a formal objection to the selection of a particular person as a juror"",""a demand by a sentry for a password or identification"",""take exception to"",""issue a challenge to"",""ask for identification"",""raise a formal objection in a court of law"""	challenges	Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.	"""a call to engage in a contest or fight"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099e93e94fd20f6229249	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
498	"""the quality or attribute of being firm and steadfast"",""a stable order (especially of society)"",""the quality of being enduring and free from change or variation"""	stability	The second is the increasing stability of attitudes towards democracy and its core institutions.	"""the quality of being enduring and free from change or variation"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228f5c	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
64	"""the occurrence of a change for the worse"",""loss of military equipment"",""the act of damaging something or someone"",""the amount of money needed to purchase something"",""any harm or injury resulting from a violation of a legal right"",""inflict damage upon"",""suffer or be susceptible to damage"""	damaged	The tumor, he suggested, developed when the second, normal copy also was damaged.	"""the amount of money needed to purchase something"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228dae	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
172	"""a sign of assent or salutation or command"",""the act of nodding the head"",""express or signify by nodding"",""lower and raise the head\, as to indicate assent or agreement or confirmation"",""let the head fall forward through drowsiness"",""sway gently back and forth\, as in a nodding motion"",""be almost asleep"""	nodded	The man closed his eyes and nodded.	"""lower and raise the head, as to indicate assent or agreement or confirmation"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228e1a	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
119	"""the difference between the market value of a property and the claims held against it"",""the ownership interest of shareholders in a corporation"",""conformity with rules or standards"""	equity	Whether they are or are not underpaid is a problem of equity; it is not an educational problem.	"""conformity with rules or standards"""				https://toloka.yandex.ru/task/33830683/000204371b--62a09e4c996da35cd762332f	000204371b--62a099c03e94fd20f6228de5	000204371b--62a09e4c996da35cd762332f	a5142f3e65e89f0d294e14c5bd09ac2f	APPROVED	2022-06-08T13:04:12.120
